operation,strategy,blockSizeInBytes,fileSizeInBytes,duration
WRITE,BlockByBlockWithBufferedStream,500,10485760,37
WRITE,BlockByBlockWithBufferedStream,50,10485760,23
WRITE,BlockByBlockWithBufferedStream,5,10485760,82
WRITE,ByteByByteWithBufferedStream,0,10485760,169
WRITE,BlockByBlockWithoutBufferedStream,500,10485760,48
WRITE,BlockByBlockWithoutBufferedStream,50,10485760,301
WRITE,BlockByBlockWithoutBufferedStream,5,10485760,3029
WRITE,ByteByByteWithoutBufferedStream,0,10485760,12994
READ,BlockByBlockWithBufferedStream,500,10485760,10
READ,BlockByBlockWithBufferedStream,50,10485760,18
READ,BlockByBlockWithBufferedStream,5,10485760,30
READ,ByteByByteWithBufferedStream,0,10485760,57
READ,BlockByBlockWithoutBufferedStream,500,10485760,13
READ,BlockByBlockWithoutBufferedStream,50,10485760,110
READ,BlockByBlockWithoutBufferedStream,5,10485760,1050
READ,ByteByByteWithoutBufferedStream,0,10485760,4792
